Country.Region,Province.State,date,confirmed,recovered,deaths,hospitalized_intensive,hospitalized_symptoms,isolated_at_home,tested,close_observation,suspected,serious_cases,active,alpha3
Afghanistan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AFG
Albania,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ALB
Algeria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,DZA
Andorra,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AND
Angola,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AGO
Antigua and Barbuda,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ATG
Argentina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ARG
Armenia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,ARM
Australia,Australian Capital Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,New South Wales,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,Northern Territory,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,Queensland,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,South Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,Tasmania,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,Victoria,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Australia,Western Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUS
Austria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AUT
Azerbaijan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,AZE
Bahamas,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BHS
Bahrain,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BHR
Bangladesh,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BGD
Barbados,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BRB
Belarus,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BLR
Belgium,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BEL
Belize,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BLZ
Benin,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BEN
Bhutan,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BTN
Bolivia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BOL
Bosnia and Herzegovina,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BIH
Botswana,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BWA
Brazil,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BRA
Brunei,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BRN
Bulgaria,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BGR
Burkina Faso,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,BFA
Burma,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,MMR
Cabo Verde,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CPV
Cambodia,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,KHM
Cameroon,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CMR
Canada,Alberta,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,British Columbia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Diamond Princess,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Grand Princess,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Manitoba,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,New Brunswick,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Newfoundland and Labrador,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Northwest Territories,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Nova Scotia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Ontario,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Prince Edward Island,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Quebec,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Recovered,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Saskatchewan,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Canada,Yukon,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAN
Central African Republic,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CAF
Chad,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,TCD
Chile,total,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CHL
China,Anhui,2020-01-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,CHN
China,Beijing,2020-01-22,14,0,0,NA,NA,NA,NA,NA,NA,NA,14,CHN
China,Chongqing,2020-01-22,6,0,0,NA,NA,NA,NA,NA,NA,NA,6,CHN
China,Fujian,2020-01-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,CHN
China,Gansu,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CHN
China,Guangdong,2020-01-22,26,0,0,NA,NA,NA,NA,NA,NA,NA,26,CHN
China,Guangxi,2020-01-22,2,0,0,NA,NA,NA,NA,NA,NA,NA,2,CHN
China,Guizhou,2020-01-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,CHN
China,Hainan,2020-01-22,4,0,0,NA,NA,NA,NA,NA,NA,NA,4,CHN
China,Hebei,2020-01-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,CHN
China,Heilongjiang,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CHN
China,Henan,2020-01-22,5,0,0,NA,NA,NA,NA,NA,NA,NA,5,CHN
China,Hong Kong,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CHN
China,Hubei,2020-01-22,444,28,17,NA,NA,NA,NA,NA,NA,NA,399,CHN
China,Hunan,2020-01-22,4,0,0,NA,NA,NA,NA,NA,NA,NA,4,CHN
China,Inner Mongolia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,CHN
China,Jiangsu,2020-01-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,CHN
